MediaId,File,Handle,Done
55406680375586,ORGCB184-1-b.jpg,lao-tzu-quote-charm-the-journey,yes
55406679818530,ORGCB184-1-c.jpg,lao-tzu-quote-charm-the-journey,no
55406680801570,ORGCB184-2-b.jpg,lao-tzu-quote-charm-freedom,no
55406679851298,ORGCB184-2-c.jpg,lao-tzu-quote-charm-freedom,no
55406680310050,ORGCB184-3-b.jpg,lao-tzu-quote-charm-silence,no
55406679884066,ORGCB184-3-c.jpg,lao-tzu-quote-charm-silence,no
55406680539426,ORGCB184-4-b.jpg,lao-tzu-quote-charm-the-flame,no
55406680408354,ORGCB184-4-c.jpg,lao-tzu-quote-charm-the-flame,no
55406681096482,ORGCB184-5-b.jpg,lao-tzu-quote-charm-love,no
55406680899874,ORGCB184-5-c.jpg,lao-tzu-quote-charm-love,no
55406680867106,ORGCB184-6-b.jpg,lao-tzu-quote-charm-the-traveller,no
55406680080674,ORGCB184-6-c.jpg,lao-tzu-quote-charm-the-traveller,no
55406679228706,ORGCB184-7-b.jpg,lao-tzu-quote-charm-calm,no
55406680342818,ORGCB184-7-c.jpg,lao-tzu-quote-charm-calm,no
55406680506658,ORGCB182-1-b.jpg,aristotle-quote-charm-discipline,no
55406680473890,ORGCB182-1-c.jpg,aristotle-quote-charm-discipline,no
55406680637730,ORGCB182-2-b.jpg,aristotle-quote-charm-happiness,no
55406680834338,ORGCB182-2-c.jpg,aristotle-quote-charm-happiness,no
55406679621922,ORGCB182-3-b.jpg,aristotle-quote-charm-friendship,no
55406680113442,ORGCB182-3-c.jpg,aristotle-quote-charm-friendship,no
55406680965410,ORGCB182-5-b.jpg,aristotle-quote-charm-knowledge,no
55406680736034,ORGCB182-5-c.jpg,aristotle-quote-charm-knowledge,no
55406680572194,ORGCB182-6-b.jpg,aristotle-quote-charm-education,no
55406680703266,ORGCB182-6-c.jpg,aristotle-quote-charm-education,no
55406680244514,ORGCB182-7-b.jpg,aristotle-quote-charm-purpose,no
55406680932642,ORGCB182-7-c.jpg,aristotle-quote-charm-purpose,no
55406680015138,ORGCB182-8-b.jpg,aristotle-quote-charm-wisdom,no
55406680604962,ORGCB182-8-c.jpg,aristotle-quote-charm-wisdom,no
55406680047906,ORGCB186-1-b.jpg,engraved-quote-charm-a-smile,no
55406679032098,ORGCB186-1-c.jpg,engraved-quote-charm-a-smile,no
55406679359778,ORGCB186-2-b.jpg,engraved-quote-charm-the-mirror,no
55406679327010,ORGCB186-2-c.jpg,engraved-quote-charm-the-mirror,no
55406681030946,ORGCB187-14K-1-b.jpg,engraved-quote-charm-the-moon,no
55406680146210,ORGCB187-14K-1-c.jpg,engraved-quote-charm-the-moon,no
55406681686306,ORGCB187-14K-2-c.jpg,engraved-quote-charm-possible,no
55406681194786,ORGCB187-14K-2-d.jpg,engraved-quote-charm-possible,no
55406679064866,ORGCB181-b.jpg,aubergine-charm,no
55406680768802,ORGCB185-14K-b.jpg,lemon-charm-14k-gold,no
55406679916834,ORGCB185-14K-c.jpg,lemon-charm-14k-gold,no
55406667661602,ORGCB51-YP-d.jpg,daisy-charm-purple,no
