row	sku	invoice_image
88	ORCB04	img_0080.jpg
208	ORCB160	img_0202.jpg
209	ORCB161	img_0203.jpg
210	ORCB162	img_0204.jpg
211	ORCB163	img_0205.jpg
212	ORCB164	img_0206.jpg
213	ORCB165	img_0207.jpg
214	ORCB166	img_0208.jpg
215	ORCB168	img_0209.jpg
216	ORCB169	img_0210.jpg
217	ORCB170	img_0211.jpg
218	ORCB171	img_0212.jpg
219	ORCB173	img_0213.jpg
220	ORCB174	img_0214.jpg
221	ORCB175	img_0215.jpg
222	ORCB176	img_0216.jpg
223	ORCB177	img_0217.jpg
224	ORCB179	img_0218.jpg
225	ORCB180	img_0219.jpg
226	ORCB182	img_0220.jpg
483	ORCB199	img_0472.jpg
484	ORCB200	img_0473.jpg
485	ORCB201	img_0474.jpg
486	ORCB202	img_0475.jpg
487	ORCB203	img_0476.jpg
488	ORCB204	img_0477.jpg
489	ORCB205	img_0478.jpg
490	ORCB206	img_0479.jpg
491	ORCB176	img_0480.jpg
492	ORCB208	img_0481.jpg
493	ORCB209	img_0482.jpg
494	ORCB210	img_0483.jpg
495	ORCB211	img_0484.jpg
496	ORCB212	img_0485.jpg
497	ORCB213	img_0486.jpg
499	ORCB215	img_0488.jpg
500	ORCB216	img_0489.jpg
501	ORCB217	img_0490.jpg
502	ORCB218	img_0491.jpg
503	ORCB219	img_0492.jpg
504	ORCB220	img_0493.jpg
505	ORCB221	img_0494.jpg
526	GCB56-R	img_0505.jpg
551	ORCB145	img_0521.jpg
